"","pop1","pop2","actual","X_1","X_2"
"402","Astridlaan","Kortenhoeff-NL",0.239026911145349,19,42
"403","Astridlaan","Arendschot",0.172518714635879,19,45
"404","Astridlaan","Kalmthout",0.182365639959102,19,43
"405","Astridlaan","Hamont-Achel3",0.152156091762085,19,50
"406","Astridlaan","Hamont-Achel2",0.204161776834023,19,49
"407","Astridlaan","Hamont-Achel1",0.1500260282286,19,51
"408","Astridlaan","Vloethemveld-Zuid",0.09382499649918,19,40
"409","Astridlaan","Raversijde2",0.0715832106695345,19,30
"410","Astridlaan","Vloethemveld-Noord",0.152082778370069,19,39
"411","Astridlaan","DuinbossenDeHaan",0.0824739357207791,19,36
"412","Astridlaan","Raversijde1",0.115253307626647,19,29
"413","Astridlaan","Raversijde3",0.0929840963654459,19,31
"414","Astridlaan","Bredene",0.0806798956731279,19,35
"415","Astridlaan","Fort Napoleon",0.0753728395603133,19,33
"416","Astridlaan","Averbode",0.0862721152481557,19,44
"417","Astridlaan","Sint-Laureins2",0.0680285137821186,19,27
"418","Astridlaan","Sint-Laureins1",0.0647211642763552,19,26
"419","Astridlaan","WarandeduinenMiddelkerke",0.0770354549162214,19,28
"420","Astridlaan","Raversijde4",0.113920052606068,19,32
"421","Astridlaan","SpanjaardduinenOostende",0.0766918721268321,19,34
"422","Astridlaan","Zwinbosjes-grazed",0.133838090462706,19,37
"423","Astridlaan","Harchies",0.247143385052748,19,52
"424","Astridlaan","Lagland",0.201485175092545,19,53
"425","Wetteren","Simliduinen",0.174615659668325,41,25
"426","Wetteren","Cabour",0.180502933253934,41,5
"427","Wetteren","Tropiflora",0.165623767233335,41,7
"428","Wetteren","Westhoek vissersdorp",0.167323690578392,41,8
"429","Wetteren","Geel-Bel",0.311767693556809,41,46
"430","Wetteren","Karthuizerduinen",0.18274802038233,41,24
"431","Wetteren","Oostvoordduinen",0.198567198896772,41,21
