"","locus","observed","median","percentile2.5th","percentile97.5th","pop"
"238","AGBro266",0.0129310344827587,-0.0021296296296297,-0.120588235294118,0.175,"Sangatte2018"
"239","AGBro299",0.0836206896551725,0.0691666666666667,-0.0733870967741936,0.2625625,"Sangatte2018"
"240","AGBro307",0.0405172413793104,0.0336206896551725,-0.0916666666666667,0.191,"Sangatte2018"
"241","AGBro32",-0.0395161290322581,-0.0524193548387097,-0.149285714285714,0.102962962962963,"Sangatte2018"
"242","AGBro337",-0.0353448275862069,-0.0524193548387097,-0.128030303030303,0.0789999999999999,"Sangatte2018"
"243","AGBro35",0.120652173913044,0.0999999999999999,-0.025,0.290909090909091,"Sangatte2018"
"244","AGBro375",-0.0314516129032259,-0.0366666666666666,-0.129422998366013,0.0861111111111111,"Sangatte2018"
"245","AGBro403",-0.043859649122807,-0.0558526371074745,-0.114268654778393,0.0331003151260504,"Sangatte2018"
"246","AGBro419",0.0275,0.0158333333333333,-0.0992424242424242,0.173170405982906,"Sangatte2018"
"247","AGBro467",-0.00694444444444448,-0.0229166666666667,-0.107504807692308,0.09453125,"Sangatte2018"
"248","AGBro480",0.0459677419354839,0.0364784946236559,-0.0728586309523809,0.172267628205128,"Sangatte2018"
"249","AGBro487",-0.0265151515151516,-0.034375,-0.12704777992278,0.0933437499999999,"Sangatte2018"
"250","AGBro57",0.32,0.32,0.0950000000000001,0.455,"Sangatte2018"
"251","AGBro76",0.0198275862068965,0.00604166666666665,-0.08984375,0.1625125,"Sangatte2018"
"252","AGBro9",0.00675675675675679,-0.00439189189189186,-0.071796875,0.0845588235294118,"Sangatte2018"
"253","AGBro110",0.0933333333333333,0.0766666666666667,-0.1,0.287916666666666,"HB-Pylyserlaan2018"
"254","AGBro111",-0.00937500000000001,-0.0233333333333333,-0.119484649122807,0.0807692307692307,"HB-Pylyserlaan2018"
"255","AGBro116",0.0125,-0.00333333333333341,-0.160526315789474,0.265576923076923,"HB-Pylyserlaan2018"
"256","AGBro12",-0.0470588235294118,-0.0617647058823529,-0.15,0.0434107142857142,"HB-Pylyserlaan2018"
