"populations" "actual" "lower" "upper"
"183" "Belvedere_324,  vs  Veurne_569," -1e-04 -0.0221 0.0505
"184" "Belvedere_324,  vs  Vloethemveld-Noord_F16," 0.0358 -0.0049 0.0946
"185" "Belvedere_324,  vs  Vloethemveld-Zuid_F28," 0.0067 -0.0273 0.067
"186" "Belvedere_324,  vs  WarandeduinenMiddelkerke_G117," 0.0068 -0.027 0.0586
"187" "Belvedere_324,  vs  WesthoekNO_140," -1e-04 -0.0219 0.0455
"188" "Belvedere_324,  vs  WesthoekOost_529," 0 -0.0208 0.046
"189" "Belvedere_324,  vs  Westhoekvissersdorp_226," 8e-04 -0.027 0.055
"190" "Belvedere_324,  vs  WesthoekZuid_9," 0.003 -0.0204 0.0405
"191" "Belvedere_324,  vs  Wetteren_548," 0.0299 -0.0022 0.0828
"192" "Belvedere_324,  vs  WitteBurg_339," 0 -0.0205 0.0429
"193" "Belvedere_324,  vs  Zwinbosjes_596," 0.0309 -0.0066 0.0847
"194" "Belvedere_324,  vs  Zwinbosjes-grazed_G229," 0.0108 -0.0182 0.0613
"195" "Bredene_G205,  vs  Cabour_60," 0 -0.0291 0.0544
"196" "Bredene_G205,  vs  DuinbossenDeHaan_G26," 0.0193 -0.0322 0.1081
"197" "Bredene_G205,  vs  FortNapoleon_G304," 0.0032 -0.0354 0.0693
"198" "Bredene_G205,  vs  Geel-Bel_292," 0.0354 -0.0093 0.1064
"199" "Bredene_G205,  vs  Hamont-Achel1_D111," 0.0455 0.003 0.1108
"200" "Bredene_G205,  vs  Hamont-Achel2_D102," 0.0497 -0.0015 0.1178
"201" "Bredene_G205,  vs  Hamont-Achel3_D97," 0.0484 0.0113 0.115
"202" "Bredene_G205,  vs  Harchies_W2," 0.1341 0.0716 0.2167
"203" "Bredene_G205,  vs  HB-Doornpanne_256," 0.0038 -0.0345 0.0732
"204" "Bredene_G205,  vs  HB-Noord_247," 0.0043 -0.0321 0.0682
"205" "Bredene_G205,  vs  HB-Oost_241," 0.0059 -0.0311 0.0692
"206" "Bredene_G205,  vs  HB-Pylyserlaan_201," 0.0047 -0.0346 0.0768
"207" "Bredene_G205,  vs  Kalmthout_D84," 0.0646 0.0143 0.1355
"208" "Bredene_G205,  vs  Karthuizerduinen_T77," 0.0012 -0.0331 0.0728
"209" "Bredene_G205,  vs  Keiheuvel_D51," 0.0732 0.0276 0.1398
"210" "Bredene_G205,  vs  Kopberg_D24," 0.053 0.0123 0.1151
"211" "Bredene_G205,  vs  Kortenhoeff-NL_D61," 0.1529 0.0659 0.2611
"212" "Bredene_G205,  vs  Lagland_W28," 0.0706 0.0308 0.1226
"213" "Bredene_G205,  vs  MtStFrieux_667," 0.0117 -0.0245 0.0715
"214" "Bredene_G205,  vs  Oosthoekduinen_89," 0.0101 -0.0262 0.0779
"215" "Bredene_G205,  vs  Oostvoordduinen_T78," 8e-04 -0.0327 0.0675
"216" "Bredene_G205,  vs  Plaatsduinen_440," 6e-04 -0.0286 0.0545
"217" "Bredene_G205,  vs  Raversijde1_G38," 0.0277 -0.0301 0.1143
"218" "Bredene_G205,  vs  Raversijde2_G253," 0.0094 -0.0303 0.0757
"219" "Bredene_G205,  vs  Sangatte_687," 0.0031 -0.0291 0.0582
"220" "Bredene_G205,  vs  Schipgatduinen_T41," 0.0028 -0.0306 0.0711
"221" "Bredene_G205,  vs  Simliduinen_473," 0.002 -0.0351 0.0746
"222" "Bredene_G205,  vs  Sint-Laureins1_G91," 0.0082 -0.03 0.0761
"223" "Bredene_G205,  vs  Sint-Laureins2_G84," 0 -0.0395 0.0751
"224" "Bredene_G205,  vs  Slack_632," 0.0182 -0.0166 0.0752
"225" "Bredene_G205,  vs  SpanjaardduinenOostende_G153," 0.0023 -0.0311 0.0764
"226" "Bredene_G205,  vs  TerYdeIWVA_407," 1e-04 -0.0272 0.0547
"227" "Bredene_G205,  vs  TerYdeWest_382," 0 -0.0222 0.057
"228" "Bredene_G205,  vs  Tropiflora_31," 0.0094 -0.0238 0.0726
"229" "Bredene_G205,  vs  Veurne_569," 3e-04 -0.0298 0.0571
"230" "Bredene_G205,  vs  Vloethemveld-Noord_F16," 0.0305 -0.0163 0.0944
"231" "Bredene_G205,  vs  Vloethemveld-Zuid_F28," 0.0272 -0.014 0.0897
"232" "Bredene_G205,  vs  WarandeduinenMiddelkerke_G117," 0 -0.0342 0.0665
"233" "Bredene_G205,  vs  WesthoekNO_140," 3e-04 -0.033 0.0567
"234" "Bredene_G205,  vs  WesthoekOost_529," 0 -0.0278 0.06
"235" "Bredene_G205,  vs  Westhoekvissersdorp_226," 0.0038 -0.0334 0.0737
"236" "Bredene_G205,  vs  WesthoekZuid_9," 0.0049 -0.0236 0.055
"237" "Bredene_G205,  vs  Wetteren_548," 0.0595 0.0034 0.1367
"238" "Bredene_G205,  vs  WitteBurg_339," 1e-04 -0.0263 0.0556
"239" "Bredene_G205,  vs  Zwinbosjes_596," 0.0643 6e-04 0.1527
"240" "Bredene_G205,  vs  Zwinbosjes-grazed_G229," 0.0358 -0.0134 0.1085
"241" "Cabour_60,  vs  DuinbossenDeHaan_G26," 0.0025 -0.0278 0.0593
"242" "Cabour_60,  vs  FortNapoleon_G304," 5e-04 -0.0233 0.0461
"243" "Cabour_60,  vs  Geel-Bel_292," 0.0277 -0.0078 0.076
"244" "Cabour_60,  vs  Hamont-Achel1_D111," 0.072 0.0223 0.1375
"245" "Cabour_60,  vs  Hamont-Achel2_D102," 0.055 0.0055 0.1237
"246" "Cabour_60,  vs  Hamont-Achel3_D97," 0.0528 0.0142 0.1045
"247" "Cabour_60,  vs  Harchies_W2," 0.1584 0.0971 0.2296
"248" "Cabour_60,  vs  HB-Doornpanne_256," -0.0045 -0.0218 0.0324
"249" "Cabour_60,  vs  HB-Noord_247," -0.002 -0.0184 0.0443
"250" "Cabour_60,  vs  HB-Oost_241," 0 -0.0192 0.0351
"251" "Cabour_60,  vs  HB-Pylyserlaan_201," -0.001 -0.0197 0.0439
"252" "Cabour_60,  vs  Kalmthout_D84," 0.0589 0.0091 0.1266
"253" "Cabour_60,  vs  Karthuizerduinen_T77," -7e-04 -0.0206 0.0446
"254" "Cabour_60,  vs  Keiheuvel_D51," 0.0849 0.0427 0.1496
"255" "Cabour_60,  vs  Kopberg_D24," 0.0245 -0.0148 0.0836
